sampleid	AMCC	batid	Locality	species	Bat Sex	BatFlyGenus	BatFlySpecies	BatFlySex	BatSwab	CaveSwab	BatFly	BatGI	Cave	Type	Type2	Source
256045-2	256045	589	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256045-3	256045	589	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256047-1	256047	591	Coquimatlán	Leptonycteris yerbabuenae	M	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256047-2	256047	591	Coquimatlán	Leptonycteris yerbabuenae	M	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
256049-1	256049	595	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
256050-1	256050	594	Coquimatlán	Leptonycteris yerbabuenae	M	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256051-1	256051	596	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
256054-1	256054	600	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
256054-2	256054	600	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
256055-1	256055	601	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
256055-2	256055	601	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
256061-1	256061.1	607	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
256061-2	256061.1	607	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
256061-3	256061.1	607	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
256062-1	256062	608	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
256062-2	256062	608	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
475V	255984	475	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
478V	256000	478	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
482V	255995	482	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
483V	255983	483	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
488V	255981	488	Chamela	Leptonycteris yerbabuenae	M				Y					Bat Skin	Bat Skin	Bat
502V	255997	502	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
506V	255988	506	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
507V	255987	507	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
508V	256002	508	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
512V	255986	512	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
527V	256015	527	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
542V	256013	542	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
544V	256012	544	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
546V	256016	546	Chamela	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
548V	256014	548	Chamela	Leptonycteris yerbabuenae	M				Y					Bat Skin	Bat Skin	Bat
573V	256028	573	Coquimatlán	Leptonycteris yerbabuenae	M				Y					Bat Skin	Bat Skin	Bat
574V	256030	574	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
575V	256031	575	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
576V	256032	576	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
582V	256038	582	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
586V	256042	586	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
589V	256045	589	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
594V	256050	594	Coquimatlán	Leptonycteris yerbabuenae	M				Y					Bat Skin	Bat Skin	Bat
596V	256051	596	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
597V	256053	597	Coquimatlán	Leptonycteris yerbabuenae	M				Y					Bat Skin	Bat Skin	Bat
599V	256052	599	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
600V	256054	600	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
607V	256061	607	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
608V	256062	608	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
612V	256066	612	Coquimatlán	Leptonycteris yerbabuenae	F				Y					Bat Skin	Bat Skin	Bat
249683-1		remove														nono
249683-2		remove														nono
249683-3		remove														nono
249683-4		remove														nono
249684-1		remove														nono
249684-2		remove														nono
249684-3		remove														nono
249684-4		remove														nono
249685-1		remove														nono
249686-1		remove														nono
249686-4		remove														nono
249686-3		remove														nono
249687-1		remove														nono
249688-2		remove														nono
249691-1		remove														nono
249691-2		remove														nono
249688-1		remove														nono
Panchito		cave	Chamela	cave									Y	Cave	Cave	nono
Fabrica		cave	Coquimatlán	cave									Y	Cave	Cave	nono
Ext		control														nono
PCR		control														nono
MicrobDNAplus		positive	positive											Mock	Mock	nono
Microbialplus		positive	positive											Mock	Mock	nono
